sentence,sense_labels,dim1,dim2
"The blame was largely placed on Ogden, but was probably also due to the age of the Wessex airframes and their engines.
",1,-1.6266279,1.6904908
"Frank (Frank Adonis) is a pot luck mobster that is finding the good and protecting Jade (Theo Kogan) is finding a way in and then finds the Slim Man who is a small-time criminal Frank kills him to blame that consequence Hw drives to the house.
",2,-0.82707393,-0.15463206
"In his correspondence with the publisher's office, Khomiak ""placed blame"" on the ""lack of editorial presence in the newspaper"", on German censorship.
",1,-1.2931365,1.0505576
"As an active critic of the government, he openly criticised the government in the Legislative Council meetings for a number of times, such as to blame the government for the perfunctory way it compiled the annual Budget and for its failure to maintain effective communication between Hong Kong and Whitehall in London, of which he thought was a key factor to achieve good governance.
",2,1.312803,-3.6428366
"Despite Knox's efforts to keep the blame for ""The First Blast"" on himself, his followers and other Protestants were punished.
",1,-2.5943608,2.2000372
"""The Michigan Alumnus"" summarized the incident: ""The affair is unfortunate and greatly to be regretted, yet few who know the facts will blame the Michigan men for defending themselves.""
",2,0.75977725,-4.111574
"""I Blame Myself"" was assumed to have been inspired by the ""anthemic pop fizz"" from her breakthrough single ""Everything Is Embarrassing"" from her second extended play ""Ghost"" (2012).
",0,9.653405,1.9912989
"During the fight, Sindhu is killed by Chakravarthi and the blame is put upon Raghu which lead to his arrest.
",1,-1.6266631,2.5597668
"The refusal of either side to admit responsibility for civilian casualties is satirised with the statement that three of the islanders were killed, but that ""nobody was to blame"".
",2,-0.7864561,-1.6872791
"The Duvalier regime of the late 1960s and the early 1970s is partly to blame for the coup d'état that occurred resulting in Aristide's removal from power the first time.
",2,-0.85993886,-3.262179
"To save everyone, someone must take the blame.
",1,-2.5021234,2.4509315
"The Owens family held no malice towards Pintor and absolved him of any blame for Owen's death.
",1,-1.8042464,0.9342934
"Without blame there is no conflict.
",1,-0.47567052,1.9850049
"This version of events has been disputed in recent times with historians laying the blame on a steel cable that snapped and sparked.
",1,-2.366572,2.0699344
"In later recriminations, Nietzsche would blame on separate occasions the failure in his attempts to woo Salomé on Salomé, Rée, and on the intrigues of his sister (who had written letters to the families of Salomé and Rée to disrupt the plans for the commune).
",-1,-1.5347606,-3.6762815
"Some of the blame has been apportioned to the fact that the media company News Limited was a 50% owner of the NRL, and would normally be expected to be a bidder for rugby league rights in Australia.
",1,-1.4397509,1.4583094
"Jean begrudgingly agrees to take the blame as Mo has a previous conviction, but the stress causes another mental breakdown; she obsesses over Shenice Quinn (Lily Harvey), a young girl who the Moons care for, believing she is an angel.
",1,-2.1063564,2.7332325
"While dying in a rail car full of prisoners, Weary convinces fellow soldier Paul Lazzaro that Billy is to blame for his death.
",2,-0.72030944,-2.1220443
"However, Landry was not totally to blame for the Cowboys' lackluster showings of the late 1980s, which included years of poor drafts.
",2,-1.019918,-3.5302212
"Trevor is later murdered by Nico and when he finds out that Nico killed him, Ben phones the police and takes the blame for Trevor's murder.
",1,-2.730204,2.0889885
"If that passes for interpretive singing these days, we have ""Idol"", and ourselves, to blame.""
",2,-0.60515445,-0.54508
"""Salon""s Robert Wilonsky asserted that Berman deserves credit for producing hundreds of hours of popular programming, and that ""without Berman to keep the show alive, there'd be no Berman to blame for the show's death"".
",2,-0.79178613,-3.1819358
"There were many causes of the crisis, with commentators assigning different levels of blame to financial institutions, regulators, credit agencies, government housing policies, and consumers, among others.
",1,-1.2832496,0.9593578
"The next day, Buendia brought the incident to the attention of the band's management boss, Butch Dans, to which he allegedly reverted the blame to the roadie's ""unprofessionalism"".
",1,-1.6592853,2.5494998
"Tarpley has expounded the ""Versailles Thesis"" laying the blame for the great wars of the 20th century on intrigues by Britain to retain her dominance.
",1,-2.741601,0.95196956
"Still, Minister of Information Chris Mushohwe maintained that ""stale food"" could have been to blame, stating, ""I don't know about that palladium... our official statement stands.""
",2,-0.74388355,-1.5970168
"During the assault on the Hub by the human and Cylon alliance, Baltar is severely injured in an explosion, and in a delirious state of self-loathing and desperation, he confesses to Roslin that he is to blame for the attacks on the Colonies.
",2,-0.967553,-1.8517791
"He explains that Alim Azimi followed the path of blame, intentionally provoking vicious attacks upon himself, in order to bring the failings of both his students and critics to light, allowing them to be seen for what they really were: ""He showed us the strange, so that the strange became commonplace and we could realise what it really is.""
",1,-0.9540201,2.0124838
"A guilt-ridden Megan admits that she is to blame, leading to Declan forcing her out of the house.
",2,-0.3874771,-1.0408791
"The biophysiological conversion from cathinone to cathine is to blame for the depotentiation of khat leaves over time.
",2,-0.9184606,-1.6975473
"This step will procure to you an innumerable addition of enemies & of blame.""
",1,-0.4601562,1.9741733
"After the buildup, The Rockers wrestled one last match on television, a title shot at The Legion of Doom which The Rockers lost after which Jannetty and Michaels argued over who was to blame.
",2,-0.51082605,-1.1664022
"Sellers keeps himself too rigidly in hand—and the blame is his, because he is also the fellow who directed the film.
",1,-2.088388,2.444936
"I am also to blame for what I did not do, for not trying to protect those prisoners.
",2,-1.1335405,-2.2352462
"Often, Richard becomes the victim of Larry's follies, causing Richard to blame Larry for almost everything wrong in his life.
",2,0.88925636,-3.0216491
"Although these claims were later proven to be false, speculation in national media and among the public continued to blame Manson's music and imagery for inciting Harris and Klebold.
",2,1.133881,-3.8684454
"(Zakharyin's words over Ivan the Terrible's dead body), ""I am to blame for all of this... Oh God, why did you make me Tsar?!""
",2,-1.3272718,-1.7435122
"Stacey and Lee left for a few months to work at a health spa but Lee was kicked out after taking the blame for Stacey making a mistake with Liz Burton's treatment.
",1,-1.9853348,2.5258107
"Faith and Stella blame Julio for offering the dolls and past incidents.
",-1,2.1077065,-2.6154945
"Some blame the complete esteem with which the sovereign's office was held, justified by prominent French Roman Catholic theologians, and that the special powers of French Kings ""...were accompanied by explicit responsibilities, the foremost of which was combating heresy"".
",2,1.4599667,-2.7314062
"Informed commentators and modern historians have put most of the blame on Philip II himself for imposing an impractical plan on his commanders, and on Diego Flores de Valdes for badly advising the duke.
",1,-2.3337162,0.67914414
"In early 1992 Seán Doherty, who as Minister for Justice had taken the blame for the phone-tapping scandal of the early 1980s, went on RTÉ and claimed that Haughey had known and authorised it.
",1,-2.5015326,1.9325563
"That's not to take any blame away from him.
",1,-1.3324327,2.0017202
"Disappointed that his protégé had taken the blame for the sinking, Stosch requested another court martial for Monts, who was found not guilty.
",1,-2.423708,1.7678653
"But, upon realizing that Helen really placed the blame on Charles, Brenda, and (lamentably) God, Myrtle turns back and urges her to direct her anger at the devil and reevaluate her faith in Christ.
",1,-1.9966276,2.4079514
"Farmers blame tigers for killing cattle and shoot them.
",2,1.1383548,-1.8408118
"Slater explains that he will have Kevin kill Balinda, then leave him to take the blame, as everyone will believe Kevin is the Riddle Killer.
",1,-1.6359043,2.7552178
"The report did not blame any individuals by name, but it found, ""a marked absence of moral courage and personal integrity"" in the officers interviewed, whom investigators faulted for failing to accept responsibility for their actions.
",2,-0.34523618,-2.2517009
"In March 2020, Fox Business anchor Trish Regan left the network amid criticism of a March 7 segment on her program, where she accused Democrats of politicizing the pandemic so they could blame Donald Trump for it, and seek a second impeachment.
",2,0.37531134,-3.3344867
"Sweetly, she tells him she does not blame him, but that he has been manipulated by his evil advisers and swiftly demands their deaths.
",2,-0.34970048,-1.8031377
"He had incited the Yosemites to kill the intruders, arranging his escape and letting the blame fall on them.
",1,-1.6059526,2.8989882
"London's ""Evening Standard"" called Andy Warhol's 1966 film ""Chelsea Girls"" a reality film and noted that the ""Radio Times Guide to Film 2007"" stated it was ""to blame for reality television.""
",2,-0.9602749,-1.6075708
"Similarly, economist Kurt Lachmann places blame for Auschnitt's ouster on the ""antisemitic campaign in Rumania, financed by the Nazis.""
",1,-1.8050029,0.53391784
"In response the Leader of Manchester City Council, Sir Richard Leese, said ""If we are going to put a finger of blame anywhere it has to be with those fans having to take responsibility for their own behaviour.""
",1,-1.2764719,1.3936715
"Part of the blame was due to many Pittsburghers considering the football season over with the Thanksgiving games.
",1,-1.2443929,1.0338546
"Each swears that he is innocent of plundering their father's Ages, and that the other brother is to blame.
",2,-1.3397185,-0.80439734
"The children perceive that they are unloved and blame themselves for the rejection.
",2,0.49527627,-3.4838333
"They blame his rigorous pursuit of a policy of controlling income growth for the Winter of Discontent.
",2,0.5877882,-3.183909
"The single's original B-side was ""Don't Blame Me"", which later appeared as an album track on their 1974 album ""Old New Borrowed and Blue"".
",0,10.623684,2.0308874
"The MCC, although it had earlier condoned and encouraged bodyline tactics in the 1932–33 series, laid the blame on Larwood when relations turned sour.
",1,-2.6711576,1.8507036
"An Occupational Safety and Health Administration (OSHA) investigation placed official blame for the tower collapse primarily on the maintenance crew, citing the removal of too many tower cross-braces at once for repair.
",1,-2.2148519,0.9739605
"Lawyer Feitell said, ""All this cross-fire among different agencies to affix blame for his parole and early release is going to make it difficult to get a fair trial.""
",1,-1.2068933,1.4574853
"It was unclear how Marciano got hurt with some claiming it was due to Charles's punches, and Marciano laying the blame on Charles's elbow.
",1,-2.1836736,2.4785802
"UEFA laid the blame for the incident solely on the Liverpool supporters, and banned all English clubs from European competition for five years.
",1,-2.3166237,1.4207746
"Koochan takes the blame on himself and ends up getting beaten up by the village people and arrested by the police.
",1,-2.2799504,2.7561455
"Blame was eventually assigned to the ACS by the news media and six Children's Services employees were disciplined.
",-1,2.4318373,6.4025135
"Modern historians, however, have placed as much blame (if not more) on the reigning Emperor Gaozong himself.
",1,-1.4679877,0.42306814
"However forgetting his own role in the defeat at San Jacinto, Santa Anna placed the entire blame on Filisola.
",1,-1.9346058,2.0851808
"A particularly notable detractor, ex-Prime Minister Abdelhamid Brahimi, assigns them the primary blame for the coup of 1992 and the ensuing Algerian Civil War.
",1,-1.9683797,1.3602967
"In the aftermath of the match, the blame for the Heysel Stadium disaster was laid on the Liverpool fans.
",1,-2.4624193,1.9917148
"He laid the blame on others, most notably on Ilarion Count Voronzov-Dashkov, head of the Ministry of the Imperial Court, with whom there had been some dispute over the management of the coronation festivities, and Colonel Alexander Vlasovsky (1842–1899), the city of Moscow's Chief of Police.
",1,-2.2806332,1.9024279
"Ellis said, ""I condemned this type of propaganda, no matter who is running them, where they blame Mexicans as the only problem and where they attack them as the only source of illegal immigration.""
",2,0.51898944,-2.5560899
"The Minister of the Navy apparently was at blame for the holdup, fearing that funds people spent on lottery tickets would go the festival rather than in support of the Navy.
",2,-0.53279513,-1.4619092
"Due to his Italian heritage, Antonucci wanted his character to be an Italian immigrant who would blame America for all of his problems.
",2,0.45264325,-1.7545931
"Thinking he is going to die, Peter tells Carla that he believes that she killed Tina and that he will take the blame for her and take her secret to the grave.
",1,-2.0884104,2.3290014
"With his power, the Bishop revoked the actions of Matín Calderón and placed the blame of the conflicts on the dean and treasurer.
",1,-1.6070896,1.8392341
"Satomi freaks out and blames Chisato, who then pins the blame on Haruka, all while Yukie tries to calm everyone down.
",1,-1.5692362,3.0419943
"He and Carlos talk and Carlos is able to forgive him for a teenage mistake (although he does blame Bree for hiding it all this time).
",2,1.001617,-2.8610964
"A 2016 column seemed to place the blame on a teen girl who had been sexually assaulted, and a 2018 column, which said that traditional Western names are preferable for newborns with half-Indian heritage, gave rise to accusations of xenophobia.
",1,-2.5682158,2.2828338
"In short - if you install a keylogger on your computer, don't blame me later.
",2,-0.32696274,-2.4022093
"Hendrik Jacobs, however, believed that Lobedu witch-doctors were to blame.
",2,-0.8044519,-1.6772698
"While some of these problems were due to mechanical failures, and responsibility for some of the others is still being debated, Kraft did not hesitate to assign blame to Carpenter, and continued to speak out about the mission for decades afterwards.
",1,-1.0314296,1.3183997
"Some critics interpret this moment as an implication of white superiority and blackness as sin, as the sultan's new white skin is described as ""clere withouten blame"" (line 924).
",1,-0.5892734,1.6186066
"Petris tells her sister to escape, taking all the blame upon herself; Yulia gives herself up after seeing her Petris arrested.
",1,-1.4571434,2.6720467
"In promising not to make hand gestures in the Commons in the future, Hillyer suggested that ""if people were offended they should blame whoever posted the six-week-old video YouTube on the anniversary"" of the École Polytechnique massacre.
",2,-0.7525295,-2.5078888
"Daniel, now a reformed, honest cop, brings Mirasi to Shiva, and tells him that he will take the blame for Sam and Kali Mamma's deaths by saying that he killed them in self-defense.
",1,-2.60334,1.7346147
"She later takes the blame for the killings to protect Lindsey and is sent to prison.
",1,-2.0458386,2.5968819
"Some accounts blame Burrows for melting photographer Robert Capa's D-Day negatives in the drying cabinet, but in fact it was another technician, according to John G. Morris.
",2,1.4292451,-4.014571
"The first round of cuts was made at the direction and even insistence of David Lean, to assuage criticisms of the film's length and increase the number of showings per day; however, during the 1989 restoration, he passed blame for the cuts onto deceased producer Sam Spiegel.
",1,-1.9711056,2.199225
"Poor record keeping is to blame, but also the fact that many of the records that were kept had his name misspelled.
",2,0.29970834,-1.53113
"The destruction of the Prussian State Archives in Potsdam in 1945 is partly to blame.
",2,0.038615245,-1.6509943
"The recent unexpected deaths of several Pomeranian dukes, along with widespread superstition, had created an atmosphere in which the public was prepared to blame the dukes' deaths on Sidonia's alleged witchcraft.
",2,0.35502243,-3.7218072
"A level of failure was put on Leon and Lola for lack of sales in the United States, putting the blame on their British accents.
",1,-3.0908628,1.8775257
"55a).Emperor Antoninus asked Rabbi how there could be punishment in the life beyond, for, since body and soul after their separation could not have committed sin, they could blame each other for the sins committed upon earth, and Rabbi answered him by the following parable: ""A certain king had a beautiful garden in which was excellent fruit; and over it he appointed two watchmen, one blind and the other lame.
",2,0.13121445,-2.728945
"Some economists state that the 1999 legislation spearheaded by Gramm and signed into law by President Clinton—the Gramm–Leach–Bliley Act—was significantly to blame for the 2007 subprime mortgage crisis and 2008 global economic crisis.
",2,-0.7201815,-2.438127
"In May 2021, Gohmert made a rambling speech in which he touched on several issues, including claiming he had very high SAT scores, and added, ""I’m sure that shocks people that think I’m the dumbest guy in Congress” before going on to blame the United States Department of Education for the trend of lower SAT scores.
",2,0.81212664,-3.3653152
"A fierce critic of the German Revolution and the Weimar Republic, he vehemently opposed the Treaty of Versailles, which he viewed as treason, and was a proponent of the so-called stab-in-the-back legend (""Dolchstoßlegende""), according to which the Social Democrats and Jews were to blame for Germany's defeat in the war.
",2,-1.1628865,-3.4507828
"It is stated that Cupid was not to blame for Myrrha's incestuous love for her father, Cinyras.
",2,-0.6711781,-2.389758
"And blame Vicky Tripodo Belle who is having the smash hit of her career.”
",-1,0.4105355,0.40126315
"Pastore contrasted this with the claim that behaviorists were more likely to be liberals or leftists, that they believe economic disadvantage and structural problems in the social order were to blame for group differences.
",2,-0.6370082,-3.1963344
"When Sheryl watches the video of them, she hears a girl's voice and recognizes it as Chloe, leading her and Martha to blame Chloe for posting the video.
",2,0.872577,-2.6900058
"Wihelm II abdicated the German throne immediately afterwards and the German High Command officials Paul von Hindenburg and Erich Ludendorff resigned whilst refusing to end the war to save face, leaving the Ebert government and the SPD-majority Reichstag to be forced to make the inevitable peace with the Allies and take the blame for having lost the war.
",1,-2.0128472,1.6000422
"Coupled with that, there is a river of rage toward their own regime whose rampant corruption and repression has left them powerless and voiceless, and a growing animosity towards the US as they blame the American government for keeping their leaders in power.
",2,1.1102892,-3.5985563
"The council decides that they showed true spirit by taking the blame for Jayden and Kieko didn't because she didn't lift the punishment.
",1,-1.8344767,2.3420296
"Pagans, in their turn, became more aggressive and began to blame the Christians for the disasters affecting the empire.
",2,0.6740386,-3.017665
"From then until his death in 2008, he produced and directed dozens of mainstream pornographic films, including ""The Devil in Miss Jones 2"" and ""Blame it on Ginger,"" starring Ginger Lynn.
",0,10.423798,0.76280534
"Biden was soon found to have lifted passages from a 1967 speech by Robert F. Kennedy earlier that year (for which his aides took the blame), and a short phrase from the 1961 inaugural address of John F. Kennedy; and to have done the same with a 1976 passage from Hubert H. Humphrey two years earlier.
",1,-2.488922,1.8759395
"The ""Financial Times"" has called him ""the world’s most influential actuary"", while in the aftermath of the global financial crisis of 2008–2009, to which Li's model has been partly credited to blame, his model has been called a ""recipe for disaster"" in the hands of those who did not fully understand his research and misapplied it.
",2,-1.1832165,-0.2977132
"However, the building's owner, LG Properties, and its president, Philip Pappas, continues to blame overcrowding on the balcony for its complete structural failure, although he has taken steps to strengthen the balconies at other properties to prevent a recurrence of the disaster.
",2,0.87565476,-3.8136237
"The members have said that they were disappointed with the experience of making this album and that the producer was to blame.
",2,-0.12328772,-1.5068104
"However Los Angeles County Supervisor and Metrolink board member Don Knabe said it was premature to blame the engineer, speculating that ""there could always be a technical malfunction where ... there was a green light both ways.""
",2,-1.0595778,-1.9984742
"Moses, realizing the group's twisted actions would not pin the blame and thus the world's attention on the LRA, thwarts the assassination with Jack's help and connections to the would-be assassins.
",1,-1.5635314,2.459646
"Proponents from the PV industry blame the lack of governmental commitment, while others point out the financial burden associated with the fast-paced roll-out of photovoltaics, rendering the transition to renewable energies unsustainable in their view.
",2,0.94519407,-3.00464
"At a Christmas mass, Radio receives several gifts from the townspeople, and Mary Helen confides to her father that while she does not blame him for neglecting her, she cannot understand the reason for his interest in Radio.
",2,0.84792954,-4.7470055
"In the first of these three sonnets (40) the speaker implies that the loss of his mistress did not hurt him badly, because he did not love her, trying not to blame the youth but blaming him still.
",2,-0.011122767,-2.487174
"Moore surmised that Emily's medications were to blame for the unsuccessful expulsion, as they paralyzed Emily's brain activity and kept the demon out of reach.
",2,-0.54512244,-3.2888017
"Russia applied for entry into the organisation in 1993, and says that the United States and European Union have placed unreasonable demands for it to accede to the organisation, although the United States and the European Union blame Russia for delays in its entry.
",2,1.251808,-2.8303435
"Some historians such as John Julius Norwich, despite their admiration for his furthering of historical methodology, consider Gibbon's hostile views on the Byzantine Empire flawed and blame him somewhat for the lack of interest shown in the subject throughout the 19th and early 20th centuries.
",-1,1.6976521,-4.413526
"In 1992, Tong published his first book, ""Don't Blame ME, Daddy: False Accusations of Child Sexual Abuse"".
",0,9.509628,1.666387
"Having the misfortune of being paired with reckless, narcissistic Seth Griffin, Susan was first caught in the crossfire when Seth took it upon himself to let a terminal, elderly patient die (and then subsequently tried to blame Rosenthal for the death).
",2,0.9021345,-2.1831987
"The park completed its investigation stating on September 10, 2013, that mechanical failure was not to blame.
",2,-0.42833802,-1.919332
"Buckley wrote that while Wittmann showed great audacity, the causes of the British defeat were broader and that the British were to blame for the failure at Villers-Bocage, not superior German tanks.
",2,-1.1048872,-3.0987213
"He blamed the ""ill-dealing of others"" for his troubles, but his involvement in impractical money making schemes, such as one to supply London with drinking water, was at least partly to blame.
",2,-0.12996103,-3.386396
"A November 2006 Ivorian government report into the incident said that Trafigura was to blame for the dumping of waste, and was aided by Ivorians.
",2,-1.0097023,-2.0256193
"However, a report published on 14 July 1881 by ""The Toronto Mail"" set the blame squarely on the battalion's commanding officer, stating that he had forced the engineer at gunpoint to cross the bridge.
",1,-2.4423969,2.127483
"I alone am to blame.""
",2,-1.1770163,-0.5873425
"The 1928 accident inquiry did not attach blame to the Southern Railway for track maintenance or locomotive performance issues, and noted that the prototype had run for eight years over the same stretch of line without complaint.
",1,-1.6609539,1.1357824
"“Now you are informed and have only yourself to blame if you miss Bandit,” wrote Aftonbladet on April 4th, 1994.
",2,-0.48896495,-0.57821864
"In January 2010, ICTS International, a security firm that provides security services to Schiphol airport, and G4S (Group 4 Securicor Aviation Security B.V.), another security firm, traded blame over the security oversight, as did authorities at Schiphol Airport, the Federal Aviation Authority, and U.S. intelligence officials.
",1,-0.6951045,0.766093
"These include among other factors: aiming first and foremost at improving quality, standardizing review process, maintaining high quality of case review, promoting self-reporting of adverse events, near misses and hazardous conditions, identifying opportunities for improvement in the review process (as opposed to casting blame), providing timely clinical performance feedback, recognizing clinical excellence, and establishing effective program governance.
",1,-1.0865006,1.8861676
"A subsequent FBI investigation placed partial blame for the agents' deaths on the lack of stopping power exhibited by their service handguns.
",1,-1.5920243,0.22246085
"Codrington arranged with General Edwin Markham, commanding the 2nd Division, the attack on the Redan of 8 September, but blame seems to have been showered more freely on Sir James Simpson, who commanded in chief since Lord Raglan's death, than on the actual contrivers of that fatal attack.
",1,-0.68583333,0.9914891
"When an attempt to arrest the Fuentes brothers at Club Mayan gets their informant killed because of LaGuerta's bad judgment call, LaGuerta plans to use Manzon as a scapegoat for having a sidearm on her during the botched sting operation, but Debra fiercely defends her by asking LaGuerta to ""stick together"" rather than pinning the blame on someone else.
",1,-2.1235073,2.4370031
"They refused to censure Blount and Willis; they placed the blame higher up.
",1,-1.246095,2.4138536
"He also defined key terms related to Sufism including the meaning of sainthood, the saint, the difference between the Sufi and the one still striving on the path, the seekers of blame, various levels of tawhid, and the charismatic feats of the saints.
",1,-0.9068035,2.690626
"Yachimovich also criticized Barnea for his ""gentle"" interview with former President Moshe Katzav, after his conviction for rape, and suggesting that the victims were to blame.
",2,-0.97263575,-1.9127535
"In the scene at the bar where Stone and Bannion first meet, the house band is performing ""Put the Blame on Mame,"" a song also heard in the 1946 noir classic ""Gilda"", also starring Ford, and also produced by Columbia.
",0,9.401927,3.3717015
"Page acknowledged that the long layoff may have contributed to his performance, but refused to blame his conditioning and gave credit to his opponent finishing him.
",2,-0.08628769,-1.4706845
"CBS, Sony, and Jill Phelps are not to blame for that.""
",2,-0.94371796,-2.0432909
"Markowitz and Acadia denied wrongdoing and cast the blame on the insistence of a partner firm, PA Associates, who were later indicted with bribing former New York State Senator Carl Kruger.
",1,-2.22419,2.063117
"Harris gives a copy of the tape to Jessner, after which British security forces kill Harris and blame his death on the IRA.
",2,0.44540027,-3.3668768
"We often blame others for everything that goes wrong, but how often do we take responsibility for our actions?
",2,0.6515332,-2.8129356
"This sparked widespread debate in the scientific community on how the blame for misconduct should be shared among co-authors, particularly when they share a significant part of the credit.
",1,-2.0400035,1.745768
"The statement might be partly true, the statement may be totally true but only part of the whole truth, or it may employ some deceptive element, such as improper punctuation, or double meaning, especially if the intent is to deceive, evade, blame, or misrepresent the truth.
",2,0.32567778,-0.46719462
"""faciō"" ""do"", participle ""factus"", but ""perficiō, perfectus"" ""complete, accomplish""; ""amīcus"" ""friend"" but ""inimīcus"" ""unfriendly, hostile""; ""legō"" ""gather"", but ""colligō"" ""bind, tie together"", participle ""collectus""; ""emō"" ""take; buy"", but ""redimō"" ""buy back"", participle ""redemptus""; ""locus"" ""place"" but ""īlicō"" ""on the spot"" (< *""stloc-/*instloc-""); ""capiō"" ""take, seize"", participle ""captus"" but ""percipiō"" ""lay hold of"", ""perceptus""; ""arma"" ""weapon"" but ""inermis"" ""unarmed""; ""causa"" ""lawsuit, quarrel"" but ""incūsō"" ""accuse, blame""; ""claudō"" ""shut"", ""inclūdō"" ""shut in""; ""caedō"" ""fell, cut"", but ""concīdō"" ""cut to pieces""; and ""damnō"" ""find guilty"" but ""condemnō"" ""sentence"" (verb).
",2,-0.77567077,0.092987865
"Khouri believes that ""allocating blame"" is counterproductive.
",1,-0.9542454,2.0901954
"Some economists posit that the minimum wage is in part to blame for structural unemployment, although structural unemployment does exist even in the absence of a minimum wage.
",2,-0.65225005,-1.8411989
"Jago offers to take the blame, but Othello refuses, telling him that he is the ""only person can trust.""
",1,-1.8236305,2.7093074
"In an attack on what he terms ""leftist unreason,"" Harris criticises Noam Chomsky among others for, in his view, displaying an illogical willingness to lay the entire blame for such attitudes upon U.S. foreign policy.
",1,-2.9636543,1.6656777
"Concurrently in the novel, a cadre of CIA agents disillusioned by Kennedy's perceived failure to adequately support the Bay of Pigs invasion hatch a plot to stage an assassination attempt and blame it on the Cuban government.
",2,-0.19466706,-2.2398815
"Jones's album ""Praise & Blame"" was released on 26 July 2010.
",0,8.072435,2.5091999
"Blame It On Gravity is noticeably more taut and focused than their earlier albums--more delicate, too.
",0,4.5779138,5.4202685
"Dignity March mobilised 10 million citizens to speak up, condemn the act of sexual violence and shift the blame to perpetrators, collectively holding the state actors accountable for ensuring justice to survivors.
",1,-1.8771294,2.3830125
"Others attribute the attack to SiLachmi; Eberhardt was his mistress, whom he had grown tired of, and it is speculated he was simultaneously trying to get rid of her and pin the blame for the attack on a rival tribe.
",1,-2.3394313,2.129307
"But since 2020, the festival's on hiatus as the COVID-19 pandemic was to blame.
",2,-0.7098879,-0.70393634
"The Taerkastens blame more ""technological"" factions like The Resistance and Ghorkovs for destroying the Earth's ozone layer and its atmosphere.
",2,1.0823559,-2.5661469
"Likewise the poll found that 61% of respondents blame the Japanese government for the conflict, while 17% hold the South Korean government responsible.
",2,0.7582208,-2.525404
"Some fans also blame Elmo for the permanent departure of Kermit the Frog from ""Sesame Street"".
",2,1.0298629,-2.9330444
"For example if someone perceives themselves as being very capable in a sport but perform poorly during a game they are more likely to attribute or blame the poor performance on an external factor than on internal factors such as their skill and ability.
",2,0.15210152,-4.3569655
"Like Tom, her son would often blame his misdeeds on an accomplice (the family dog).
",2,0.35551706,-3.4784153
"Following the 2010 Polish Air Force Tu-154 crash, ""Nasz Dziennik"" wrote about Soviet-era atrocities such as the murder of priests and the Katyn massacre, using the adjective ""Russian"" instead of ""Soviet"" in an attempt to blame the modern Russian regime for past Soviet crimes.
",2,0.52210295,-3.3190594
"If any room for uncertainty remains, stereotyped individuals tend to blame themselves.
",2,-0.88702506,-1.9284067
"Immediately after her death, the media placed blame on her husband, Tel Aviv businessman Doron Ashkenazi, for infecting her with the disease.
",1,-1.3853054,1.5129585
"However, after someone (later revealed as Walt) sets the raft on fire, Sawyer and Michael blame Jin and Sawyer takes him to the beach with the intent of beating him.
",2,0.7271753,-1.1445867
"John of Gaunt received most of the blame for the debâcle.
",1,-1.6246951,1.4790772
"During this period, racial tensions grew between the Chinese and the Malays, allegedly partially incited earlier by the MCP, such as during the Hock Lee bus riots, but with growing blame put on UMNO by the PAP.
",1,-0.9113785,2.056932
"But some people chip and chip at the ground underneath you in trying to find someone to blame.
",2,-0.9144183,-1.6054499
"He was denied tenure by the University of Chicago in 1973, despite having been a faculty member there for a decade and having published dozens of books; he attributed the denial to anti-Catholic prejudice, although a colleague said his cantankerous temperament was more to blame.
",2,-0.73777914,-2.2007432
"There would be a witness but Roberto, threatening him with death, succeeds in obtaining his silence, the blame therefore falls on Maria, who arrived shortly after the crime attracted by the noises with the intention of bringing help.
",1,-2.4543164,2.3328402
"The ""Blame"" video went on to be nominated for a Hollywood Music Award (ceremony in November 2008) whilst also being selected for screening at the San Francisco International Animation Festival (run by the San Francisco Film Society) and at the Holland Animation Film Festival 2008.
",0,8.488906,2.3311617
"It was expected that Bernier would be demoted, but he accepted blame for the incident and offered his resignation as Minister of Foreign Affairs to Prime Minister Stephen Harper, who accepted.
",1,-1.3279558,1.8283966
"The residents of the village of Frankenstein feel they are under a curse and blame all their troubles on Frankenstein's monster.
",2,0.685831,-4.0763893
"The problem was traced to a faulty casting and Waterhouse was exonerated of any blame.
",1,-1.6563519,2.0752933
"They placed much of the blame on members of the architectural group ""The Ring,"" calling Walter Gropius an ""elegant salon-bolshevist"", and calling the Bauhaus ""the cathedral of Marxism"".
",1,-2.2179825,1.8375582
"However, he was cleared of all blame by a parliamentary committee, which showed he had always released funds to the Indian military upon request.
",1,-1.3653823,1.570872
"The U.S. invasion of Iraq; the support of various Western governments for the Kingdom of Saudi Arabia, which commits war crime upon war crime in Yemen and disseminates poisonous sectarian propaganda throughout the Sunni world; not to mention longstanding Western support for highly repressive dictators who manipulate sectarian fears and anxieties as a strategy of control and regime survival – the ""ancient hatreds"" narrative Sunnis and Shi’as washes this all away and lays the blame for the regionʹs problems on supposedly trans-historical religious passions.
",1,-3.0582163,1.7176976
"It was also his fifth consecutive album produced by Nick Lowe, who handled production on all songs except ""Big Sister's Clothes"" (which the liner notes make clear by stating that Lowe was ""not to blame"" for it).
",2,-0.8021778,-2.2209754
"By this time Nero was hugely unpopular despite his attempts to blame the Christians for most of his regime's problems.
",2,0.40956527,-2.9625454
"The widows are also upset that the company Indian Oil and the arrested officers have tried to pass on blame on their husbands.
",1,-1.3477863,2.192293
